id,title,tagline,overview,homepage,release_date,budget,revenue,popularity,runtime,poster_path
578189,Black and Blue,The truth made her a target.,"A rookie cop inadvertently captures the murder of a young drug dealer on her body cam. After realizing that the murder was committed by corrupt cops, she teams up with the one person from her community who is willing to help her as she tries to escape both the criminals out for revenge and the police who are desperate to destroy the incriminating footage.",https://www.blackandblue.movie/,10/25/2019,12000000,22741061,21.882,109,/1cSHEKYYP8Dpi4o1iBVd4U75FYt.jpg
201085,Crimson Peak,Love makes monsters of us all.,"In the aftermath of a family tragedy, an aspiring author is torn between love for her childhood friend and the temptation of a mysterious outsider. Trying to escape the ghosts of her past, she is swept away to a house that breathes, bleeds… and remembers.",http://www.crimsonpeakmovie.com/,10/13/2015,55000000,74679822,21.874,119,/g6lDR5EQuOwNwl9Ni5ROEVNXYbw.jpg
334541,Manchester by the Sea,,"After his older brother passes away, Lee Chandler is forced to return home to care for his 16-year-old nephew. There he is compelled to deal with a tragic past that separated him from his family and the community where he was born and raised.",http://manchesterbytheseathemovie.com/,11/18/2016,9000000,78988148,21.862,138,/e8daDzP0vFOnGyKmve95Yv0D0io.jpg
413644,The Son of Bigfoot,Meet the wildest family around!,"Teenage outsider Adam sets out on an epic and daring quest to uncover the mystery behind his long-lost dad, only to find out that he is none other than the legendary Bigfoot! He has been hiding deep in the forest for years to protect himself and his family from HairCo., a giant corporation eager to run scientific experiments with his special DNA. As father and son start making up for lost time after the boy's initial disbelief, Adam soon discovers that he too is gifted with superpowers beyond his imagination. But little do they know, HairCo. is on their tail as Adam's traces have led them to Bigfoot!",https://www.nwave.com/films/the-son-of-bigfoot/,7/26/2017,30000000,46372519,21.859,92,/5yCQvhFuFPY0pACxoUpLUlYCxop.jpg
600354,The Father,,"A man refuses all assistance from his daughter as he ages and, as he tries to make sense of his changing circumstances, he begins to doubt his loved ones, his own mind and even the fabric of his reality.",https://www.sonyclassics.com/film/thefather,12/23/2020,6000000,21029340,21.844,97,/pr3bEQ517uMb5loLvjFQi8uLAsp.jpg
375366,The Girl with All the Gifts,Our greatest threat is our only hope.,"In the future, a strange fungus has changed nearly everyone into a thoughtless, flesh-eating monster. When a scientist and a teacher find a girl who seems to be immune to the fungus, they all begin a journey to save humanity.",,9/23/2016,5005600,0,21.84,110,/vdCD8z55a4RNmHQDPIpuMFqoY2B.jpg
144336,Sabotage,Leave no loose ends,"John ""Breacher"" Wharton leads an elite DEA task force that takes on the world's deadliest drug cartels. When the team successfully executes a high-stakes raid on a cartel safe house, they think their work is done – until, one-by-one, the team members mysteriously start to be eliminated. As the body count rises, everyone is a suspect.",,3/28/2014,35000000,22126842,21.825,110,/f5L0WlOAzFiKTOGNZTcKkEJ4iOT.jpg
504608,Rocketman,Based on a True Fantasy,"The story of Elton John's life, from his years as a prodigy at the Royal Academy of Music through his influential and enduring musical partnership with Bernie Taupin.",https://www.paramount.com/movies/Rocketman/,5/17/2019,40000000,167323950,21.803,121,/f4FF18ia7yTvHf2izNrHqBmgH8U.jpg
454615,Black Water,Some secrets never surface,"A deep cover operative awakens to find himself imprisoned on a submarine. With the help of a fellow prisoner and an amateur agent, he must race against the clock to escape the vessel and expose who set him up.",,5/18/2018,4000000,0,21.793,105,/tIcZAB5AmRN8fIDXfDZ2aUok9qa.jpg
399404,Darkest Hour,Never never never surrender,"A thrilling and inspiring true story begins on the eve of World War II as, within days of becoming Prime Minister of Great Britain, Winston Churchill must face one of his most turbulent and defining trials: exploring a negotiated peace treaty with Nazi Germany, or standing firm to fight for the ideals, liberty and freedom of a nation. As the unstoppable Nazi forces roll across Western Europe and the threat of invasion is imminent, and with an unprepared public, a skeptical King, and his own party plotting against him, Churchill must withstand his darkest hour, rally a nation, and attempt to change the course of world history.",http://www.focusfeatures.com/darkesthour/,11/22/2017,30000000,150847207,21.785,125,/z0K8uoNbrYKkbaP7wIeadJ4BmSL.jpg
264999,Magic Mike XXL,Back to the grind.,"Three years after Mike bowed out of the stripper life at the top of his game, he and the remaining Kings of Tampa hit the road to Myrtle Beach to put on one last blow-out performance.",,7/1/2015,14800000,117813057,21.772,115,/eEVaW9GubVYKV2IQNWY3yYF3TFa.jpg
58431,Pride and Prejudice and Zombies,Bloody lovely.,"A zombie outbreak has fallen upon the land in this reimagining of Jane Austen's classic tale of the tangled relationships between lovers from different social classes in 19th century England. Feisty heroine Elizabeth Bennet is a master of martial arts and weaponry and the handsome Mr. Darcy is a fierce zombie killer, yet the epitome of upper class prejudice. As the zombie outbreak intensifies, they must swallow their pride and join forces on the blood-soaked battlefield in order to conquer the undead once and for all.",https://www.facebook.com/PPZMovie,2/4/2016,28000000,16457494,21.768,108,/jsJlOhVHiz1xXr36616EI8tJ4b2.jpg
309886,Blood Father,They left him no choice..,An ex-con reunites with his estranged wayward 16-year old daughter to protect her from drug dealers who are trying to kill her.,,8/11/2016,13000000,6903033,21.758,88,/1VpEcYxo2T5qt5YMynfWZkctPR4.jpg
169209,Empire State,Based on a true story.,"After failing to get into the police academy, Chris Potamitis settles for a security guard job with an armoured truck company. After he makes the mistake of mentioning the company's lax security to his best friend, He's unwittingly drawn into an elaborate scheme to rob the abundant amounts of cash being stored on their premises—resulting in the largest cash heist in U.S.history.",,9/3/2013,11000000,3639345,21.606,94,/nu2F22TEzk3eK0rsjFDoARyFmCw.jpg
549053,Last Christmas,Who doesn't have a little Christmas baggage?,"Kate is a young woman who has a habit of making bad decisions, and her last date with disaster occurs after she accepts work as Santa's elf for a department store. However, after she meets Tom there, her life takes a new turn.",,11/7/2019,30000000,121550750,21.602,102,/kDEjffiKgjuGo2DRzsqfjvW0CQh.jpg
98357,Broken City,Proof Can Be a Powerful Weapon.,"In a broken city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure, the mayor. Billy's relentless pursuit of justice, matched only by his streetwise toughness, makes him an unstoppable force - and the mayor's worst nightmare.",http://www.brokencitymovie.com/,1/18/2013,56000000,34737199,21.59,109,/hqa5FwNZC55zqSpdeGFtBDqw55y.jpg
398173,The House That Jack Built,,"Failed architect, engineer and vicious murderer Jack narrates the details of some of his most elaborately orchestrated crimes, each of them a towering piece of art that defines his life's work as a serial killer for twelve years.",http://zentropa.dk/en/portfolio-item/the-house-that-jack-built/,10/4/2018,9800000,5566776,21.586,152,/bMUGNkPaHOurcBK9g3XpJx3fxuO.jpg
107846,Escape Plan,No one breaks out alone.,"Ray Breslin is the world's foremost authority on structural security. After analyzing every high security prison and learning a vast array of survival skills so he can design escape-proof prisons, his skills are put to the test. He's framed and incarcerated in a master prison he designed himself. He needs to escape and find the person who put him behind bars.",http://escapeplanmovie.com/,10/9/2013,50000000,122915111,21.54,115,/zdnChkdppJjXl8lvwRz8vn6cs2s.jpg
106747,Machete Kills,Trained to kill. Left for dead. Back for more.,Ex-Federale agent Machete is recruited by the President of the United States for a mission which would be impossible for any mortal man – he must take down a madman revolutionary and an eccentric billionaire arms dealer who has hatched a plan to spread war and anarchy across the planet.,,9/12/2013,12000000,15008161,21.535,107,/nbnRAibyPSt0ProTJI3hH13KHaL.jpg
463272,Johnny English Strikes Again,His licence renewed. His intelligence restricted.,"Disaster strikes when a criminal mastermind reveals the identities of all active undercover agents in Britain. The secret service can now rely on only one man - Johnny English. Currently teaching at a minor prep school, Johnny springs back into action to find the mysterious hacker. For this mission to succeed, he’ll need all of his skills - what few he has - as the man with yesterday’s analogue methods faces off against tomorrow’s digital technology.",http://www.johnnyenglishmovie.com/,9/6/2018,25000000,158972499,21.525,89,/tCBxnZwLiY1BOKw3tH6AxHZdqPh.jpg
463821,The House with a Clock in Its Walls,This house knows what makes you tick.,"When ten-year-old Lewis is suddenly orphaned, he is sent to live with his Uncle Jonathan in a creaky (and creepy) old mansion with a mysterious ticking noise that emanates from the walls. Upon discovering that his uncle is a warlock, Lewis begins learning magic, but when he rebelliously resurrects an evil warlock he must find the secret of the house and save the world from destruction.",http://housewithaclock.com,9/15/2018,42000000,131457147,21.517,105,/qM66Hv4ByAxnilr0jaqCA9uOD4Y.jpg
913604,Renegades,Armed for war and out for justice.,"When a retired Green Beret soldier is murdered by an Albanian drug gang in London, four of his veteran SAS comrades set out to avenge him, dispensing their own brand of justice on the streets of London.",,12/2/2022,4000000,0,21.499,91,/7QvhJsoFbcWsrY0iXGhZTKQaQAr.jpg
501907,A Beautiful Day in the Neighborhood,Neighbor. Icon. Friend.,"An award-winning cynical journalist, Lloyd Vogel, begrudgingly accepts an assignment to write an Esquire profile piece on the beloved television icon Fred Rogers. After his encounter with Rogers, Vogel's perspective on life is transformed.",https://www.abeautifulday.movie/,9/7/2019,25000000,67925733,21.478,109,/p9vCAVhDK375XyobVcKqzqzsUHE.jpg
552178,Dark Waters,The truth has a man on the inside,"A tenacious attorney uncovers a dark secret that connects a growing number of unexplained deaths to one of the world's largest corporations. In the process, he risks everything — his future, his family, and his own life — to expose the truth.",https://www.focusfeatures.com/dark-waters,11/22/2019,0,13601384,21.461,127,/yV6edeSb1ykiNpJ1ekRz8GPhENr.jpg
72710,The Host,You will be one of us,"A parasitic alien soul is injected into the body of Melanie Stryder. Instead of carrying out her race's mission of taking over the Earth, ""Wanda"" (as she comes to be called) forms a bond with her host and sets out to aid other free humans.",http://thehostthefilm.com/,3/22/2013,44000000,63327201,21.431,125,/ok2sl6rGITZ0W94DeRU4VkB2ssW.jpg
556984,The Trial of the Chicago 7,"In 1968, democracy refused to back down.",What was supposed to be a peaceful protest turned into a violent clash with the police. What followed was one of the most notorious trials in history.,https://www.netflix.com/title/81043755,9/25/2020,35000000,107423,21.357,130,/ahf5cVdooMAlDRiJOZQNuLqa1Is.jpg
418437,Unforgettable,"When love ends, madness begins.","Julia moves in with her fiancé, David, but his ex-wife and her own haunting past join forces to rock her quiet suburban existence.",,3/6/2017,12000000,17768012,21.335,100,/jKyjJu3N0bcF9TzcyGLb0Nn6Uqq.jpg
467433,A Question of Faith,,"When Tragedy Strikes three Families, their Destiny forces them on a coverging path and mercy as the challenges of their fate could also resurrect their beliefs",http://aquestionoffaith.com/,9/29/2017,0,2587072,21.333,104,/4DwBNsU23aI3A83Mtpj2QDmmXAH.jpg
489999,Searching,No one is lost without a trace.,"After David Kim's 16-year-old daughter goes missing, a local investigation is opened and a detective is assigned to the case. But 37 hours later and without a single lead, David decides to search the one place no one has looked yet, where all secrets are kept today: his daughter's laptop.",http://www.searching.movie,8/24/2018,1000000,75462037,21.323,102,/pk9R56ZFlofbBzfwBnHlDyg5DMs.jpg
635731,Pig,We don’t get a lot of things to really care about.,A truffle hunter who lives alone in the Oregon wilderness must visit Portland to find the mysterious person who stole his beloved foraging pig.,https://neonrated.com/films/pig,7/16/2021,0,3889432,21.316,91,/1InMm4Mbjx8wCKvIy5gglo5i3HN.jpg
109431,Identity Thief,She's having the time of his life,"When a mild-mannered businessman learns his identity has been stolen, he hits the road in an attempt to foil the thief -- a trip that puts him in the path of a deceptively harmless-looking woman.",http://www.identitythiefmovie.com,2/7/2013,35000000,173965010,21.312,111,/zkxqk7HQKOPYVL6nttcRuXN6l3Q.jpg
255343,Escobar: Paradise Lost,Welcome to the family,"For Pablo Escobar family is everything. When young surfer Nick falls for Escobar's niece, Maria, he finds his life on the line when he's pulled into the dangerous world of the family business.",,10/11/2014,17000000,3758328,21.311,120,/4HngNLzCmUYCPB8FbxSZWN0eDKM.jpg
254474,Zombeavers,You'll be dammed!,College friends find their weekend of sex and debauchery ruined when deadly zombie beavers swarm their riverside cabin.,http://www.zombeavers.com/,10/20/2014,0,14947,21.291,85,/gdb7v5GCfijrCjOjzbziGMGs6JA.jpg
294272,Pete's Dragon,Some secrets are too big to keep.,"For years, old wood carver Mr. Meacham has delighted local children with his tales of the fierce dragon that resides deep in the woods of the Pacific Northwest. To his daughter, Grace, who works as a forest ranger, these stories are little more than tall tales... until she meets Pete, a mysterious 10-year-old with no family and no home who claims to live in the woods with a giant, green dragon named Elliott. And from Pete's descriptions, Elliott seems remarkably similar to the dragon from Mr. Meacham's stories. With the help of Natalie, an 11-year-old girl whose father Jack owns the local lumber mill, Grace sets out to determine where Pete came from, where he belongs, and the truth about this dragon.",http://movies.disney.com/petes-dragon-2016,8/10/2016,65000000,143695338,21.275,103,/A9x4Ogk8KUXTfU649NS6lS9TCmu.jpg
